
There are 4566 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
36 instances of CDS,OG0001134
36 instances of CDS,OG0001135
36 instances of CDS,OG0001137
36 instances of CDS,OG0001138
35 instances of CDS,OG0001139
36 instances of CDS,OG0001141
36 instances of CDS,OG0001142
36 instances of CDS,OG0001143
36 instances of CDS,OG0001144
36 instances of CDS,OG0001145
36 instances of CDS,OG0001146
36 instances of CDS,OG0001147
35 instances of CDS,OG0001148
36 instances of CDS,OG0001149
36 instances of CDS,OG0001150
36 instances of CDS,OG0001152
36 instances of CDS,OG0001153
33 instances of CDS,OG0001154
36 instances of CDS,OG0001155
36 instances of CDS,OG0001156
36 instances of CDS,OG0001157
35 instances of CDS,OG0001159
36 instances of CDS,OG0001160
35 instances of CDS,OG0001161
36 instances of CDS,OG0001164
36 instances of CDS,OG0001165
36 instances of CDS,OG0001166
36 instances of CDS,OG0001167
36 instances of CDS,OG0001168
36 instances of CDS,OG0001169
36 instances of CDS,OG0001170
36 instances of CDS,OG0001171
36 instances of CDS,OG0001172
36 instances of CDS,OG0001173
36 instances of CDS,OG0001174
36 instances of CDS,OG0001177
36 instances of CDS,OG0001178
36 instances of CDS,OG0001179
35 instances of CDS,OG0001180
36 instances of CDS,OG0001184
36 instances of CDS,OG0001185
36 instances of CDS,OG0001187
34 instances of CDS,OG0001189
36 instances of CDS,OG0001190
36 instances of CDS,OG0001192
36 instances of CDS,OG0001193
36 instances of CDS,OG0001194
36 instances of CDS,OG0001195
36 instances of CDS,OG0001196
36 instances of CDS,OG0001197
36 instances of CDS,OG0001200
36 instances of CDS,OG0001201
36 instances of CDS,OG0001202
36 instances of CDS,OG0001203
36 instances of CDS,OG0001204
36 instances of CDS,OG0001205
36 instances of CDS,OG0001206
36 instances of CDS,OG0001207
36 instances of CDS,OG0001208
36 instances of CDS,OG0001209
36 instances of CDS,OG0001211
36 instances of CDS,OG0001212
36 instances of CDS,OG0001215
35 instances of CDS,OG0001216
36 instances of CDS,OG0001217
36 instances of CDS,OG0001218
36 instances of CDS,OG0001219
36 instances of CDS,OG0001220
36 instances of CDS,OG0001221
36 instances of CDS,OG0001222
36 instances of CDS,OG0001224
36 instances of CDS,OG0001225
36 instances of CDS,OG0001226
36 instances of CDS,OG0001228
36 instances of CDS,OG0001229
34 instances of CDS,OG0001233
36 instances of CDS,OG0001234
36 instances of CDS,OG0001235
36 instances of CDS,OG0001237
36 instances of CDS,OG0001240
36 instances of CDS,OG0001242
36 instances of CDS,OG0001243
36 instances of CDS,OG0001244
35 instances of CDS,OG0001245
36 instances of CDS,OG0001246
36 instances of CDS,OG0001247
36 instances of CDS,OG0001250
36 instances of CDS,OG0001251
36 instances of CDS,OG0001255
36 instances of CDS,OG0001256
36 instances of CDS,OG0001257
36 instances of CDS,OG0001258
36 instances of CDS,OG0001260
36 instances of CDS,OG0001261
36 instances of CDS,OG0001265
36 instances of CDS,OG0001267
34 instances of CDS,OG0001268
36 instances of CDS,OG0001269
36 instances of CDS,OG0001270
35 instances of CDS,OG0001271
36 instances of CDS,OG0001272
36 instances of CDS,OG0001274
36 instances of CDS,OG0001275
36 instances of CDS,OG0001278
36 instances of CDS,OG0001280
36 instances of CDS,OG0001281
34 instances of CDS,OG0001282
36 instances of CDS,OG0001284
35 instances of CDS,OG0001285
36 instances of CDS,OG0001286
36 instances of CDS,OG0001289
36 instances of CDS,OG0001292
36 instances of CDS,OG0001293
36 instances of CDS,OG0001294
36 instances of CDS,OG0001295
36 instances of CDS,OG0001296
36 instances of CDS,OG0001297
36 instances of CDS,OG0001298
36 instances of CDS,OG0001299
35 instances of CDS,OG0001300
36 instances of CDS,OG0001301
36 instances of CDS,OG0001303
36 instances of CDS,OG0001305
36 instances of CDS,OG0001306
36 instances of CDS,OG0001307
36 instances of CDS,OG0001308
36 instances of CDS,OG0001309
36 instances of CDS,OG0001311
36 instances of CDS,OG0001312
36 instances of CDS,OG0001313
36 instances of CDS,OG0001316
36 instances of CDS,OG0001317
35 instances of CDS,OG0001318
36 instances of CDS,OG0001319
35 instances of CDS,OG0001320
35 instances of CDS,OG0001321
36 instances of CDS,OG0001322
36 instances of CDS,OG0001323
35 instances of CDS,OG0001324
35 instances of CDS,OG0001325
36 instances of CDS,OG0001326
35 instances of CDS,OG0001327
33 instances of CDS,OG0001328
35 instances of CDS,OG0001336
35 instances of CDS,OG0001337
35 instances of CDS,OG0001338
35 instances of CDS,OG0001339
35 instances of CDS,OG0001340
35 instances of CDS,OG0001341
35 instances of CDS,OG0001344
35 instances of CDS,OG0001346
35 instances of CDS,OG0001347
35 instances of CDS,OG0001348
35 instances of CDS,OG0001349
34 instances of CDS,OG0001350
34 instances of CDS,OG0001351
35 instances of CDS,OG0001352
35 instances of CDS,OG0001353
34 instances of CDS,OG0001354
35 instances of CDS,OG0001355
35 instances of CDS,OG0001356
34 instances of CDS,OG0001357
35 instances of CDS,OG0001358
35 instances of CDS,OG0001359
35 instances of CDS,OG0001360
35 instances of CDS,OG0001362
35 instances of CDS,OG0001363
35 instances of CDS,OG0001364
35 instances of CDS,OG0001367
35 instances of CDS,OG0001368
35 instances of CDS,OG0001370
35 instances of CDS,OG0001372
35 instances of CDS,OG0001373
35 instances of CDS,OG0001374
34 instances of CDS,OG0001375
35 instances of CDS,OG0001376
35 instances of CDS,OG0001377
35 instances of CDS,OG0001378
35 instances of CDS,OG0001379
35 instances of CDS,OG0001380
35 instances of CDS,OG0001382
35 instances of CDS,OG0001383
35 instances of CDS,OG0001384
35 instances of CDS,OG0001385
35 instances of CDS,OG0001388
32 instances of CDS,OG0001389
35 instances of CDS,OG0001390
35 instances of CDS,OG0001391
35 instances of CDS,OG0001392
35 instances of CDS,OG0001394
35 instances of CDS,OG0001396
35 instances of CDS,OG0001399
35 instances of CDS,OG0001400
35 instances of CDS,OG0001402
34 instances of CDS,OG0001403
35 instances of CDS,OG0001404
35 instances of CDS,OG0001405
35 instances of CDS,OG0001406
35 instances of CDS,OG0001408
35 instances of CDS,OG0001410
35 instances of CDS,OG0001412
34 instances of CDS,OG0001414
35 instances of CDS,OG0001415
35 instances of CDS,OG0001416
35 instances of CDS,OG0001419
35 instances of CDS,OG0001420
35 instances of CDS,OG0001421
