
There are 4878 gene names (or gene product names) detected
----------------------------------
Gene and count sorted by gene name
----------------------------------
38 instances of CDS,OG0000856
37 instances of CDS,OG0000860
38 instances of CDS,OG0000862
38 instances of CDS,OG0000863
38 instances of CDS,OG0000864
38 instances of CDS,OG0000865
38 instances of CDS,OG0000867
38 instances of CDS,OG0000868
38 instances of CDS,OG0000869
38 instances of CDS,OG0000870
38 instances of CDS,OG0000873
38 instances of CDS,OG0000874
37 instances of CDS,OG0000875
38 instances of CDS,OG0000876
38 instances of CDS,OG0000877
38 instances of CDS,OG0000878
37 instances of CDS,OG0000879
37 instances of CDS,OG0000880
38 instances of CDS,OG0000881
37 instances of CDS,OG0000882
38 instances of CDS,OG0000883
38 instances of CDS,OG0000885
36 instances of CDS,OG0000887
38 instances of CDS,OG0000888
38 instances of CDS,OG0000889
38 instances of CDS,OG0000891
37 instances of CDS,OG0000892
38 instances of CDS,OG0000893
38 instances of CDS,OG0000894
38 instances of CDS,OG0000895
38 instances of CDS,OG0000896
38 instances of CDS,OG0000897
38 instances of CDS,OG0000898
38 instances of CDS,OG0000899
38 instances of CDS,OG0000900
38 instances of CDS,OG0000902
38 instances of CDS,OG0000903
38 instances of CDS,OG0000904
38 instances of CDS,OG0000905
38 instances of CDS,OG0000906
38 instances of CDS,OG0000908
38 instances of CDS,OG0000909
38 instances of CDS,OG0000910
38 instances of CDS,OG0000911
38 instances of CDS,OG0000912
38 instances of CDS,OG0000913
38 instances of CDS,OG0000914
37 instances of CDS,OG0000916
38 instances of CDS,OG0000918
37 instances of CDS,OG0000920
36 instances of CDS,OG0000921
38 instances of CDS,OG0000922
38 instances of CDS,OG0000923
37 instances of CDS,OG0000924
37 instances of CDS,OG0000925
38 instances of CDS,OG0000927
37 instances of CDS,OG0000929
38 instances of CDS,OG0000930
38 instances of CDS,OG0000931
38 instances of CDS,OG0000933
38 instances of CDS,OG0000934
38 instances of CDS,OG0000936
38 instances of CDS,OG0000937
37 instances of CDS,OG0000938
37 instances of CDS,OG0000940
38 instances of CDS,OG0000941
38 instances of CDS,OG0000943
37 instances of CDS,OG0000946
37 instances of CDS,OG0000947
38 instances of CDS,OG0000948
38 instances of CDS,OG0000949
38 instances of CDS,OG0000950
38 instances of CDS,OG0000951
36 instances of CDS,OG0000952
38 instances of CDS,OG0000953
38 instances of CDS,OG0000955
37 instances of CDS,OG0000956
38 instances of CDS,OG0000957
36 instances of CDS,OG0000959
38 instances of CDS,OG0000960
38 instances of CDS,OG0000961
37 instances of CDS,OG0000962
38 instances of CDS,OG0000963
38 instances of CDS,OG0000964
37 instances of CDS,OG0000965
38 instances of CDS,OG0000967
38 instances of CDS,OG0000968
38 instances of CDS,OG0000970
33 instances of CDS,OG0000972
37 instances of CDS,OG0000974
38 instances of CDS,OG0000975
38 instances of CDS,OG0000978
38 instances of CDS,OG0000979
37 instances of CDS,OG0000984
37 instances of CDS,OG0000985
37 instances of CDS,OG0000986
37 instances of CDS,OG0000987
37 instances of CDS,OG0000988
37 instances of CDS,OG0000989
37 instances of CDS,OG0000990
37 instances of CDS,OG0000993
37 instances of CDS,OG0000994
37 instances of CDS,OG0000995
37 instances of CDS,OG0000996
37 instances of CDS,OG0000997
37 instances of CDS,OG0000998
37 instances of CDS,OG0000999
37 instances of CDS,OG0001001
37 instances of CDS,OG0001002
37 instances of CDS,OG0001003
37 instances of CDS,OG0001004
37 instances of CDS,OG0001005
37 instances of CDS,OG0001006
37 instances of CDS,OG0001007
36 instances of CDS,OG0001008
36 instances of CDS,OG0001009
33 instances of CDS,OG0001010
37 instances of CDS,OG0001011
36 instances of CDS,OG0001012
36 instances of CDS,OG0001013
34 instances of CDS,OG0001014
37 instances of CDS,OG0001015
37 instances of CDS,OG0001017
37 instances of CDS,OG0001020
37 instances of CDS,OG0001021
34 instances of CDS,OG0001022
37 instances of CDS,OG0001023
37 instances of CDS,OG0001025
37 instances of CDS,OG0001026
37 instances of CDS,OG0001027
37 instances of CDS,OG0001028
37 instances of CDS,OG0001029
37 instances of CDS,OG0001030
37 instances of CDS,OG0001033
37 instances of CDS,OG0001034
36 instances of CDS,OG0001035
37 instances of CDS,OG0001036
37 instances of CDS,OG0001037
37 instances of CDS,OG0001038
37 instances of CDS,OG0001040
37 instances of CDS,OG0001041
37 instances of CDS,OG0001042
37 instances of CDS,OG0001043
37 instances of CDS,OG0001044
37 instances of CDS,OG0001045
37 instances of CDS,OG0001046
36 instances of CDS,OG0001047
37 instances of CDS,OG0001048
37 instances of CDS,OG0001049
37 instances of CDS,OG0001050
37 instances of CDS,OG0001051
36 instances of CDS,OG0001052
37 instances of CDS,OG0001053
37 instances of CDS,OG0001054
37 instances of CDS,OG0001055
36 instances of CDS,OG0001057
37 instances of CDS,OG0001058
37 instances of CDS,OG0001059
36 instances of CDS,OG0001061
37 instances of CDS,OG0001062
37 instances of CDS,OG0001063
37 instances of CDS,OG0001064
37 instances of CDS,OG0001065
37 instances of CDS,OG0001066
37 instances of CDS,OG0001067
37 instances of CDS,OG0001068
37 instances of CDS,OG0001069
37 instances of CDS,OG0001070
37 instances of CDS,OG0001071
37 instances of CDS,OG0001072
37 instances of CDS,OG0001074
37 instances of CDS,OG0001075
37 instances of CDS,OG0001076
36 instances of CDS,OG0001077
35 instances of CDS,OG0001078
37 instances of CDS,OG0001080
37 instances of CDS,OG0001081
37 instances of CDS,OG0001083
37 instances of CDS,OG0001084
